file,model,language,strategy,retries,num_comp,temp,status,quality
216.ts,codex,ts,tree,1,10,1,failure,NA
216.ts,codex,ts,tree,1,10,0.8,failure,NA
734.ts,codex,ts,tree,1,10,1,failure,NA
734.ts,codex,ts,tree,1,10,0.8,timeout,NA
569.ts,codex,ts,tree,1,10,1,timeout,NA
569.ts,codex,ts,tree,1,10,0.8,timeout,NA
1066.ts,codex,ts,tree,1,10,1,timeout,NA
1066.ts,codex,ts,tree,1,10,0.8,failure,NA
331.ts,codex,ts,tree,1,10,1,success,0
331.ts,codex,ts,tree,1,10,0.8,success,0
218.ts,codex,ts,tree,1,10,1,failure,NA
218.ts,codex,ts,tree,1,10,0.8,failure,NA
1795.ts,codex,ts,tree,1,10,1,success,0
1795.ts,codex,ts,tree,1,10,0.8,success,20
1440.ts,codex,ts,tree,1,10,1,failure,NA
1440.ts,codex,ts,tree,1,10,0.8,failure,NA
1663.ts,codex,ts,tree,1,10,1,success,0
1663.ts,codex,ts,tree,1,10,0.8,success,0
880.ts,codex,ts,tree,1,10,1,failure,NA
880.ts,codex,ts,tree,1,10,0.8,success,0
1782.ts,codex,ts,tree,1,10,1,failure,NA
1782.ts,codex,ts,tree,1,10,0.8,failure,NA
1381.ts,codex,ts,tree,1,10,1,success,0
1381.ts,codex,ts,tree,1,10,0.8,success,20
181.ts,codex,ts,tree,1,10,1,failure,NA
181.ts,codex,ts,tree,1,10,0.8,failure,NA
797.ts,codex,ts,tree,1,10,1,success,10
797.ts,codex,ts,tree,1,10,0.8,timeout,NA
440.ts,codex,ts,tree,1,10,1,failure,NA
440.ts,codex,ts,tree,1,10,0.8,success,0
1461.ts,codex,ts,tree,1,10,1,success,0
1461.ts,codex,ts,tree,1,10,0.8,success,0
562.ts,codex,ts,tree,1,10,1,success,0
562.ts,codex,ts,tree,1,10,0.8,success,0
1776.ts,codex,ts,tree,1,10,1,timeout,NA
1776.ts,codex,ts,tree,1,10,0.8,success,10
1173.ts,codex,ts,tree,1,10,1,failure,NA
1173.ts,codex,ts,tree,1,10,0.8,failure,NA
154.ts,codex,ts,tree,1,10,1,timeout,NA
154.ts,codex,ts,tree,1,10,0.8,failure,NA
70.ts,codex,ts,tree,1,10,1,failure,NA
70.ts,codex,ts,tree,1,10,0.8,failure,NA
995.ts,codex,ts,tree,1,10,1,success,0
995.ts,codex,ts,tree,1,10,0.8,success,0
1459.ts,codex,ts,tree,1,10,1,failure,NA
1459.ts,codex,ts,tree,1,10,0.8,success,0
1414.ts,codex,ts,tree,1,10,1,failure,NA
1414.ts,codex,ts,tree,1,10,0.8,failure,NA
864.ts,codex,ts,tree,1,10,1,success,0
864.ts,codex,ts,tree,1,10,0.8,success,0
867.ts,codex,ts,tree,1,10,1,success,0
867.ts,codex,ts,tree,1,10,0.8,success,0
946.ts,codex,ts,tree,1,10,1,success,0
946.ts,codex,ts,tree,1,10,0.8,success,15
1214.ts,codex,ts,tree,1,10,1,failure,NA
1214.ts,codex,ts,tree,1,10,0.8,failure,NA
1007.ts,codex,ts,tree,1,10,1,success,0
1007.ts,codex,ts,tree,1,10,0.8,success,0
1068.ts,codex,ts,tree,1,10,1,failure,NA
1068.ts,codex,ts,tree,1,10,0.8,failure,NA
385.ts,codex,ts,tree,1,10,1,failure,NA
